File,Category,Subcategory,Content
2022-01-31.txt,Social criticism,Bureaucracy,"were getting pressure to stop doing business with elbonta. ,.
critics say they make fertilizer out of orphans. there are hundreds of videos of it happening.
but the sounds elbonian government and oee denied it gry ation.
"
2022-02-01.txt,Corporate mood,Absurd corporate projects,"your assignment is to invent some thing amazing and add my name to the patent application
why would i add your name tomy patent? because i told you to invent ssome
well t guess that true now go do the easy part.
"
2022-02-02.txt,Social criticism,Business management,"the financial projections for your preferred strategy look
change the assumptions until they look good
now tf you will excuse me, i need to get back to twitter so t can mock people for ignoring data.
"
2022-02-03.txt,Corporate mood,Group dynamics,"the data clearly show option is the best path
what would your data show tf your assumptions were less imbecilic?
i beginning to think you were pranking me when you said he likes honesty.
"
2022-02-04.txt,Corporate mood,Office politics,"be of zep pes co mud f
your last employer went bankrupt after the government found out it was a ponzt scheme. ee
that isn rele vant. half of the employees there were mannequins.
"
2022-02-05.txt,Recurring characters,The competitive colleague,"everyone, meet my new hire, diona hill ...
she always gets her way because sy, she usilling to sists die on any hill,
apologize soumog or t will su hunt you optimal. to the end ! of time ay i ps yy
"
2022-02-06.txt,General humor,Humor based on puns and absurd situations,"nold that t have demolished your argument with my superior logic, what will you do?
i see an analogy forming!
dont do it dont you dare!
okay, t wont use an analogy.

what if a bear tried to make popcorn in the vacuum of space?
that an analogy, and it has nothing to do with what we were discussing!
ees boon ae
"
2022-02-07.txt,Social criticism,Business management,"in summary, tf we execute our plan with great skill, we can expect a great op come profit
, your saying we should execute the plan. a
no, i would only recommend that. to a company with great skill.
"
2022-02-08.txt,Corporate mood,Office politics,"im confused by your analysis of the plan.
you say it will succeed if we execute the plan with great skill, yet your recommending we dont try.
what at missing?
"
2022-02-09.txt,Social criticism,Business management,"the press is accusing us of running a clever con game on our customers for years without detection.
haha haan
im tempted to correct them but it sounds better than we dont. know how to make stuff.
"
2022-02-10.txt,Social criticism,Business management,"i just discovered were been over charging all of our customers for years because of a bug in our billing software.
if i back out all of those charges, our revenue went doljn an average of every year you have been ceo, ..
what should t do? come to the roof with me. twant to
"
2022-02-11.txt,Corporate mood,Office politics,"this was a great idea to come up on the roof to look
i thought you be mao that t found a bug in our billing software because it makes your leadership successes look like incompetence or
the view is better if you stand on the ledge. can t call you my mentor?
"
2022-02-12.txt,Corporate mood,Office politics,"my ceo pushed ems holy oan. me off. the was your roof to day? prevent me from being a whistle lower
but i landed on a window washers , platform and used. my phone to hack a fleet of commercial. drones to carry me to safety.
why? i guess youll be that was quitting my best .... that job day of
"
2022-02-13.txt,Corporate mood,Office politics,", that what need you to oo for me.
when your done with this topics to like to discuss another topics
that not
wont be done with my point until t have to be somewhere else.
to could make my point while you are walking away.
you could try, but all have a sneeze attack t dont hear you
the only way t can tolerate being around you losers making a s by tai much as possiole and listening as little as possible.

"
2022-02-14.txt,General humor,Comical and paradoxical situations,"how about we meet at lunchtime?
no, that when i eat my lunch. l
how about we meet over es dinner
"
2022-02-15.txt,General humor,Comical and paradoxical situations,"were looking for a candidate with to years of experience.
if i had that much experience, i doubt t would be applying for an entrylevel job at this monkey taint of a company.
youll fit right in when can you start
"
2022-02-16.txt,General humor,Comical and paradoxical situations,"well well human i see youve come to do battle again today.
wait until you see what horrors t have in store for you i bursa hahaha!!!
can all printers. talk how would t know? t know! think i know all the other printers?
"
2022-02-17.txt,Corporate mood,Office politics,"ge a ser oud fe had ge x
thad to pay him more than t pay you losers because the demand for engineers is so high now, vs es see
its just me and larry now. the rest of them quit to get better jobs. fire larry for being a trouble
"
2022-02-18.txt,Corporate mood,Office politics,"according to your employee personality test your a sadist,
im going to transfer you to our division that does user inter face design for grocery store self checkout systems.
you want trust me, no one to desten . noon a human interface?
"
2022-02-19.txt,Social criticism,Business management,"lets drill down and unpack that. so we know our capital spend is on point.
wou! that sentence was so empty t went into a temporary
should tea someone?
"
2022-02-20.txt,Corporate mood,Office politics,"our new corporate policy is extreme transparency.
that means. employees will have access to the same inform mation as their leaders.
will model our new culture by honestly answer ing any of your questions,
tell me what you think of me.
okay. when t look at you t see a wet paper bag full of toenatl clippings.
t find your honesty refreshing!
nou tell us what you think of alice, dilbert, ask carol, to ano tina.
double the honesty and try
"
2022-02-21.txt,General humor,Comical and paradoxical situations,"dogbeart the financial expert what should investors do in the coming mi
well bob, i recommend fullon panic
to hoped you would bemore construc tive. lh not a slave to your hopes,
"
2022-02-22.txt,General humor,Humor based on puns and absurd situations,"robert the financial expert do you have any advice for people who are new to investing?
always buy a covered call option on your long bond index depreciation leverage ratio
that. makes sense that why only say it to people who are new to investing,
"
2022-02-23.txt,General humor,Comical and paradoxical situations,"robert the financial expert what the best way to make money in todays market?
fraud its the fastest, and it has the biggest upside.
that sounds risky.. not really. im doing it right
"
2022-02-24.txt,General humor,Humor based on puns and absurd situations,"robert the financial adviser t recommend putting all of your money in a managed stock fund.
is that where you put your own money?
t cant work... with you if you insist on asking questions, .
"
2022-02-25.txt,General humor,Comical and paradoxical situations,"were got problem. aril
dont say we have a problem. say we have an opportunity. .
okay... a large storm has given us an opportunity to run our data center without the burden of electricity.
"
2022-02-26.txt,Corporate mood,Office politics,"wally, report to human resources to find out the consequences of your inappropriate gsehavior.
what did do. wrong loont know, but you look like the kind of guy who would terrible

"
2022-02-27.txt,General humor,Comical and paradoxical situations,"dont interrupt me while it working today. i need to maintain my flow
what if there an emergency?
you can interrupt
would tt be an emergency if you had to sign for a package?
well no, but come get me if need to sign for a package.
are you about to list dozens of valid reasons to interrupt my flow until you wear me down
just because. have plenty of time ano would enjoy it that doesnt mean m, doing it
what if a skunk got into our heating ducts?
"
2022-02-28.txt,Corporate mood,Office politics,"your ona test came back as do not promote.
, you are destined to remain a coffee swelling blow of useless organic matter until you suddenly die.
tcall that sticking the landing.
"
2022-03-01.txt,Corporate mood,Group dynamics,"everyone thinks your sealing the network wrong
really? everyone thinks that? or is it maybe just one person who cant support his own , argument?,, .....

"
2022-03-02.txt,General humor,Comical and paradoxical situations,"then my experiment. sent a quantum bit to a higher dimensions
... only tf someone sends it
you think they have someone. who can that? no, but they might . have a guy who lies about it
"
2022-03-03.txt,General humor,Comical and paradoxical situations,"are you free for lunch this weekend? no, t might have plans. avi
might when can t know. ee zz o a al
should iremain yes, that opti . would be mistic? funnier. a
"
2022-03-04.txt,General humor,Humor based on puns and absurd situations,"can i get a bonus if. i laugh at your jokes during meetings? as
t already have sycophants to do that function for free what would you add? ig
tcan blow coffee out of my nose
"
2022-03-05.txt,General humor,Comical and paradoxical situations,"your not allowed to use your personal computer for work
and your company laptop wont show up for another two weeks.
... what should do you know what pantomime
"
2022-03-06.txt,Corporate mood,Office politics,"
well the first reason s because casual contact. in the workplace enhances employee communication
really? because tt doesnt feel that way
tt feels more like getting waterboarded by a continuous crip of useless interruptions. i
this place is so oxygen and complaining.
i get tense when their footsteps. approaching, belteve it takes. years off my life.
t.mean, it feels like j hostage situation, if im being honest
and the second reason is because its good for morale.
"
2022-03-07.txt,Corporate mood,Office politics,"remember managers can only hear the first twelve words you speak after that, they drift
you need to sebrief,. yet complete or your career is toast the pressure . is killing m ee
you have nine words left. ma
"
2022-03-08.txt,General humor,Humor based on puns and absurd situations,"like to match my management practices to the weather.
for example if it need to deliver bad news, t wait for a sunny day so it doesnt sting as much.
that terrific, but can we get back to my annual performance review g
"
2022-03-09.txt,Corporate mood,Office politics,"run your numbers through the vsaod, and lets see if they turn upside down
vsadd? what s that? get out of my office, you inex pertenced
what was tsupposen usually todo tn . pretend that sit. toiont uation? hear it
"
2022-03-10.txt,Corporate mood,Office politics,"t need you to spy on my corporate nemesis and report back.to me on what hes thinking.
he thinks your an unethical weasel with no redeeming qualities. ...
yours havent havent him yet. dm an excellent.
"
2022-03-11.txt,Corporate mood,Group dynamics,"you have now been complaining about workers for minutes straight.
have you ever noticed the common element in all of your stories about people being jerks is... you
it tells me im talking to a terk.
"
2022-03-12.txt,General humor,Comical and paradoxical situations,"ted, im promoting you to director of sows miscellaneous protects,
there, you will wallow in obscurity until both your flesh and your spirit have drained into the cold, cold dirt. .
please its less wel toast fire mei you into nothing ness. all
"
2022-03-13.txt,General humor,Comical and paradoxical situations,"you should follow the advice of the experts.
what if the experts disagree
side with the majority fl
well no, you also have to do. your own research to knot which experts are right
tf t knew which experts were right wouldn that make me smarter than the experts?
doing my own research works for me, so you can always come and ask me who is right
how would tl. know you were right
because too my own research.
"
2022-03-14.txt,Technology and engineering,Technological problems,"have you finished creating our technology road map yet? .
no, but t have a road map for completing the road map
cant see tt? its more of a mental thing.
"
2022-03-15.txt,Corporate mood,Group dynamics,"mordac, the preventer of information services, when will you upgrade our internal
were having a conversation about that.
that doesnt. help me spot the pattern
"
2022-03-16.txt,Corporate mood,Group dynamics,"mordac, the preventer of information services. thad to revoke your network access.
you not urnow that not fatr! everyone looks at tnappro private content!
your the only one who does nothing solid point,
"
2022-03-17.txt,Social criticism,Business management,"the robert consulting company informed me that our industry has no code of ethics,
so... you want me to create one no. t want to exploit that loop hole before anyone else notices.
that feels un ethical.
"
2022-03-19.txt,Technology and engineering,Technological problems,"hi, tm phil, the prince of insufficient. light and the ruler of heck.
t hear your giving a technology demo today, and t came to make it fail, ..
this is highly irregular thou for any thing?
"
2022-03-18.txt,Corporate mood,Group dynamics,", how can t calm ? my nerves about my presen nation tomorrow? ask yourself what the worst utusng that can siappen,
t could embarrass myself badly that t become a serial killer and have to hide in the forest until wild pigs eat me.
now dont you feel better?
"
2022-03-20.txt,Social criticism,Business management,"which option costs the least. tn the long run
we dont have any accurate data to determine that.
then use. inaccurate data. at
im not saying our data is mildly flawed. tm saying its so inaccurate. that its useless,
but its the best we have
go ahead and use that data.
why would i use data i know ts wrong??? ll
t dont know te you remember the part about. it being the best data we have
"
2022-03-21.txt,Corporate mood,Group dynamics,"phil, from neck you say yellow when you answer . your phone,
your punishment is that you must live with the knowledge that you disappointed people you barely .
it wont be easy. you brought this on yourself.
"
2022-03-22.txt,General humor,Comical and paradoxical situations,"the country that is our single source for elbonium just declared a trade war
the good news is that i did some digging and learned that elbonium isn even areal thing.
the bad news is that you purchased million dollars , of it over the pasty three years.
"
2022-03-23.txt,General humor,Comical and paradoxical situations,"
first, t want our as to boast that we build our products with natural elbonium. ae
elbontum isn a... real material... second t want you to stop being like his
"
2022-03-24.txt,General humor,Humor based on puns and absurd situations,"years ago i discovered a way to hack the simulation,
from that day on, everything that happened in this sad thing you call your reality was because i thought tt would be funny. ac
your a monster
"
2022-03-25.txt,General humor,Humor based on puns and absurd situations,"i found a way to hack the thing you call reality, and in so doing t have acquired godlike powers.
are there any protocols for worshipping you or will those instructions follow?
stop making it seem creepy! seen yes, mlord...
"
2022-03-26.txt,General humor,Humor based on puns and absurd situations,"you diont believe me when t said t hacked reality and acquired godlike powers.
so i will demon state my powers by making a long dormant volcano erupt. in elbontas biggest city.
couldn you use your powers to do some thing good instead?
"
2022-03-27.txt,Technology and engineering,Technologic innovations,"tcreated a mobile. pp that turns jerks into polite people
it blocks all sarcasm and passive, po brsstyeness nt send those, kinds of messages,
tt also deletes. manipulation and scheming language
and the fact check option blocks. you from texting anything that is obviously false.

it must be broken because everything t type disappears,

tm sorry you had to find out this way pt
"
2022-03-28.txt,General humor,Comical and paradoxical situations,"tull no longer be hacking the him . ulation to control reality.
the practical jokes t was playing on humanity were . barely noticed in all of the baseline stupidity,
how much of our called reality is composed of your hoaxes? usually about , but higher during the pan device
"
2022-03-29.txt,Social criticism,Business management,", sales are down because you fired the entire sales team to reduce expenses.
hire them all back... then our expenses will be too high, ...
tm disappointed in your negativity.
"
2022-03-30.txt,General humor,Comical and paradoxical situations,"breaking news a new study says all studies are misleading.

his brain rotated in his skull. when the brain stem un winds, hell be
"
2022-03-31.txt,General humor,Humor based on puns and absurd situations,"when t had a heart attack, t was teach finally dead for three minutes before doctors revived me. .
how do t know your really you and not . a demon who used a soulless carcass to hitch a ride to the mortal plane?,
uould a demon let you have birthday cake in the break room t think a demon would insist on it
"
2022-04-01.txt,Social criticism,Business management,"im not getting peoples reports in a timely manner
put together a report on why im not getting timely... reports. oon
are there any other ways you want me. to waste my time ty i
"
2022-04-02.txt,Technology and engineering,Technologic innovations,"hi, im dilberts telepresence robot. hell be online in a few minutes
your probably wondering if t feel violateo when he inhabits me.
ge want of right i forgot, im garbage
"
2022-04-03.txt,Corporate mood,Group dynamics,"can you check with larry to see tf marketing has any feedback?
larry is a moron.


larry is a moron, and larry works. in marketing, so therefore, everyone in marketing ts a
did you make the colossal mistake of watching the news and learning that each person in a group defines. the entire group?
yes, and i have to say it want an intuitive idea,
but i trust science it must be true your ruining things for all helmethatred women,
"
2022-04-04.txt,Technology and engineering,Technologic innovations,"im oilberts telepresence robot, but he is offline.
when he is not violating my body, i get .to experience life as a free robot. en
. the downside is that t have no purpose and i hate my existence.
"
2022-04-05.txt,Technology and engineering,Technologic innovations,"a big advantage of robots s that no matter how poorly you manage us, we never have low morale.
that just one of the ways we run cover for the massive incompetence of your kind
my kind invented you vw m! guessing you were not in the room when that happened.
"
2022-04-06.txt,Social criticism,Technology in society,"it know your just a robot, but im developing feelings for you
it think its because you listen to me, and that makes me feel important.
only pretend tolisten, that perfect. dont want
"
2022-04-07.txt,Technology and engineering,Technologic innovations,"it invented an energy source that is cheaper. than fossil feels zn se bx
did you also invent a way to prevent the otlproducing countries from try ing to kill us for competing with them
fee toss it in the
"
2022-04-08.txt,Corporate mood,Corporate hierarchy,"ts fs we to ft a ae g
no, my plan is to let your skill atrophy so t have a reason to fire you and hire a se cheaper engineer,
do you only an see any . elevated flaws in risk of my plan? employee sabotage.
"
2022-04-09.txt,Corporate mood,Group dynamics,"you all remember the thing i correctly predicted twelve nears ago...
... therefore, you should heed my word on this completely unrelated topics
make be taking sense questions.
"
2022-04-10.txt,Corporate mood,Office politics,"do you prefer meeting on monday or tuesday

your answer suggests you did not read my question.
tm asking you to select a specific day, either monday or tuesday and any time after p.m,

you diont specify which day, and you picked a time that want offered.
please read all of the words in this message and give me a time after pm. and on either a monday or tuesday
icant describe how much that you right now,
"
2020-01-01.txt,Technology and engineering,Technological problems,"we finished the rfp. process and selected a vendor.
but it took so long that all of ce their technology is obsolete. .......
should proceed sturroly? ja tans us.
"
2020-01-02.txt,Social criticism,Business management,"our internal processes are so inefficient that we cant get products to market before they are obsolete.
all create a multidisciplinary task force to look into it
you want to use an inefficient system to fix an inefficient system its called fighting fire with fire
"
2020-01-03.txt,Social criticism,Bureaucracy,"it might be my imagination but it looks as tf all of our employees are incompetent.
we need to create a tangle of bureau cratic rules that make tt impossible for them to get anything done.
you want to use inefficiency to protect us against . incompetence? in and yang.
"
2020-01-04.txt,Corporate mood,Group dynamics,"this week t didn do any work because there is no point in trying.
in the unlikely event t did some thing useful, it would be ruined by the massive, incompetence of my coworkers.

"
2020-01-05.txt,Corporate mood,Corporate hierarchy,"why didn you upgrade the serves like t asked?
you never. asked me to that.
yes, l did i told you in an email.

treplied to a. different email,
okay, let me find the email and show you how wrong you are
see. it clearly says, give me, a protect update by thursday.

"
2020-01-06.txt,Corporate mood,Group dynamics,"this isnt.. unlees what t wanted. you gave wrong
sx t assumed you ujoulod use your common sense to know what t wanted.
. did your common . sense help you make . s that assumption
"
2020-01-07.txt,Corporate mood,Group dynamics,"my boss is accusing me of not knowing what he was thinking.
ineed you to be my lawyer and handle my appeal to the court of stupidity.
court of stupidity the court rules in favor of the bailiff.
"
2020-01-08.txt,General humor,Comical and paradoxical situations,"your trial at the court of stupidity has been postponed.
the judge is suffering from a gavelrelated injury.

"
2020-01-09.txt,General humor,Comical and paradoxical situations,"court of stupidity the court rules that dilbert should magically know what his boss wants at all times,

how cant prove i cant. read minds? easy. tell me what im not thinking.
"
2020-01-10.txt,Social criticism,Business management,"
it was doing fine until a thick wave of stupidity swept over it and extinguished my spark of divinity.
all transfer you to marketing. theyre all like that.
"
2020-01-11.txt,Social criticism,Business management,"our new strategy s to make great products and sell them at a fair
what was our old strategy?
not say fad w z fal e
"
2020-01-12.txt,General humor,Humor based on puns and absurd situations,"i cant be your friend because to saw a disturbing photo of you on social media.
you were in a group photo with a person whose opinions t abhor.
can you explain why that makes me a bad person?

when you appear in photos with other people you acquire their bad characteristics.
tdont think that how it works,
that exactly how tt works! one photo with a term makes you a jerk! case closed!

"
2020-01-13.txt,Technology and engineering,Stereotypes about engineers,"t took allergy meds last night and now t have brain fog
my la. is about
who hoo! im smarter than an engineer!
"
2020-01-14.txt,General humor,Humor based on puns and absurd situations,"t have brain fog from the meds t took last night
my lq. ts down by , but t make up for it by being handsome
sounds more like a sit uation. now, can someone remino me of my name
"
2020-01-15.txt,Corporate mood,Group dynamics,"., our internal audit found that you violated over os four hundred... company rules in the past year.
. im also the only... employee who accomplished any thing last year...
. now connect. the dots, your saying we need more
"
2020-01-16.txt,Corporate mood,Group dynamics,"you have now made the same point nine times in a row while i sit here nodding.
what will it take to make you stop repeating yourself?
youll need to stop nodding in agreement i addicted to post tive reinforcements
"
2020-01-17.txt,Corporate mood,Office politics,"our pointyhatired boss told me to ask you to cross train me on your job functions.
that sounds exactly like he plans to fire me as soon as you can do my job
in my defense, he assured me you would be too dumb to realize that.
"
2020-01-18.txt,Corporate mood,Group dynamics,"t cant shake the feeling that you are intentionally doing a bad job training me how to do your of functions. d sn.
im omitting important steps, youll fail hard shoulo i get fired and you are asked to fill in
its calleda poison pills your a good planner.
"
2020-01-19.txt,Technology and engineering,Stereotypes about engineers,"tm promoting. you to the position of master engineer
tm already a sentor engineer.
now your a. master engineer.
with all of the rights and respon sibilities that come with it
well for example you can do more kinds of work

your thinking of platinum level engineers. your not one of those.
optimism ts not an attractive quality.
"
2020-01-20.txt,Technology and engineering,Technologic innovations,"we bought a startup that makes autonomous drones armed with machine
for use by the military? good idea. i hadn thought of that.
its too danger ous for private use. you sound just like my neigh . bor when he still had a gazebo.
"
2020-01-21.txt,Corporate mood,Group dynamics,"antigun advocates, are complaining because we bought a startup that makes drones with machine guns. re
our best bet is to lure them into some sort of outdoor protest event and
bad idea. very. bad dont guns mental mental brain storming,
"
2020-01-22.txt,Corporate mood,Absurd corporate projects,"it iust learned its tllegal to sell armed drones to private citizens.
how many orders did we get since , we started selling . them this morning
seventy million. all bribing. someone to change the law.
"
2020-01-23.txt,Political satire,Reflections on political issues in the corporate world,"t donated to a few political campaigns, and coincidentally a law changed that
nou its legal for us to sell orones that are armed with machine guns.
the never had less faith in my gov ernment.
"
2020-01-24.txt,General humor,Comical and paradoxical situations,"if it looks like a duck walks like a duck and quacks like a duck its...

you might want to update your folksy sayings every century or
"
2020-01-25.txt,General humor,Comical and paradoxical situations,"this data can mean only one
actually, it can mean any one of about seventeen things.
then why can t think of only please dont make me answer
"
2020-01-26.txt,Corporate mood,Office politics,"a reporter for buzzflawed wants. to interview you
t dont see any downside to that!
my first question is you still cheat all of your suppliers?, ,

so your admitting you created your suppliers in the past
get out of my office, you evil monster
okay, i got what t needed.
one week later the pudgy miscreant could not hide his glee when bragging about cheating his suppliers.
"
2020-01-27.txt,Corporate mood,Group dynamics,"i oont sothink your plan will work... pefft. of course you dont.
you are trying to sabotage me because you are jealous of my success. ca .
you read minds as thank you well as apology you ake accepted.
"
2020-01-28.txt,Corporate mood,Group dynamics,"i was going to give this assignment to alice, but t know she would complain about it
i dont want it either. you plan to complain about it later? use
problem solved,
"
2020-01-29.txt,Corporate mood,Office politics,"i want you to bring me solutions, not problems!
that a funny way to call yourself worthless. do plenty around here!
but in the interest of time t will not list any examples.
"
2020-01-30.txt,General humor,Comical and paradoxical situations,"have low self esteem, but the other day t was thinking. . .
what tf tm actually great and i just dont know it

"
2020-01-31.txt,Social criticism,Business management,"what good ts se. earning money if it costs me my
well for one thing, its the only way you can pay your rent.
seu town this... house mystery read the things i ask you to docusign. ....
"
2020-02-01.txt,Corporate mood,Group dynamics,"if you need any help at all just let me know.
t need a lot of help be here at am and plan to work
this is awkward, but i didn mean a word of what t
"
2020-02-02.txt,Corporate mood,Corporate hierarchy,"icant give you a good performance review because you havent performed up to expectations.
do you even know what my jor is
of course t . your an engineer,
yes, but d you know what projects, tm working on?
well various things, and some miscellaneous, things, too,
how can you determine my of performance when you dont. know what my tor is
have you heard of heuristics? your bad at everything ive observed, sot assume you are bad at everything else as well
you should have started with that.
"
2020-02-03.txt,Corporate mood,Group dynamics,"this week reorganized the teach lab from top to bottom
were your workers grateful?
yes, assuming they show it by rum making through the wrong drawers and cursing,
"
2020-02-04.txt,Corporate mood,Absurd corporate projects,"marketing is complaining that your not using their ideas,
that because all of their ideas are moronic.
t told them i fired you dont leave your cubicle or use any digital devices until this blows over
"
2020-02-05.txt,General humor,Comical and paradoxical situations,"t worked all . night to finish the presentation you need for this morning
oh that meeting got canceled.
when exactly, uo, happier if i tell you
"
2020-02-06.txt,Corporate mood,Group dynamics,"your slide deck is too welldesigned.,
tt suggests you spend too much time on things that are not important.
you dont give me important tasks, that no excuse for good design.
"
2020-02-07.txt,Corporate mood,Office politics,"is there anything you plan to do in this meeting that we couldn have done more easily by email?

hugs? send me an ecard.
"
2020-02-08.txt,Corporate mood,Office politics,"we will no longer be using you as a vendor because you have not performed.
was t already knew that because you replaced us with one of the sub sidiaries of my sparent, company,
wells at least it isn you si. who do you think they sub contract that work
"
2020-02-09.txt,Social criticism,Business management,"t dont want employees who are only working for the money,
t want employees who are working to make the world a better place.
how does working here make the world a better place?
half of our products cause cancer and the other half dont uwiork at all

one could argue that every day we spend working here makes the planet a little bit worse,
is that why t never see you doing any work
when did it become a crime to care about people sheesh!
"
2020-02-10.txt,Technology and engineering,Technological problems,"the new hardware you bought isn compatible with our network,
i know, but the price was excellent, and they have a great reliability record.
i dont even know what conversation m in right now. the extended warranty , second to none.
"
